TargetID,RepID,DrugID,FY_Quarter,SalesTarget_Value,SalesTarget_Units,VisitTarget,NewDoctorTarget
TGT000001,REP001,DRG001,FY2021-Q1,70709.8,105,51,10
TGT000002,REP001,DRG001,FY2021-Q2,59640.09,186,36,7
TGT000003,REP001,DRG001,FY2021-Q3,67502.14,67,48,9
TGT000004,REP001,DRG001,FY2021-Q4,62280.27,186,31,6
TGT000005,REP001,DRG001,FY2022-Q1,73012.12,195,31,2
TGT000006,REP001,DRG001,FY2022-Q2,71214.75,279,38,10
TGT000007,REP001,DRG001,FY2022-Q3,64737.48,274,20,3
TGT000008,REP001,DRG001,FY2022-Q4,26419.53,199,22,5
TGT000009,REP001,DRG001,FY2023-Q1,61318.46,252,56,4
TGT000010,REP001,DRG001,FY2023-Q2,75863.71,218,47,7
TGT000011,REP001,DRG001,FY2023-Q3,32571.83,87,20,9
TGT000012,REP001,DRG001,FY2023-Q4,57600.84,143,27,7
TGT000013,REP001,DRG001,FY2024-Q1,58261.85,127,29,10
TGT000014,REP001,DRG001,FY2024-Q2,66364.5,186,50,4
TGT000015,REP001,DRG001,FY2024-Q3,24891.68,253,25,3
TGT000016,REP001,DRG001,FY2024-Q4,52827.45,145,31,7
TGT000017,REP001,DRG002,FY2021-Q1,65844.09,115,59,6
TGT000018,REP001,DRG002,FY2021-Q2,142464.44,258,42,5
TGT000019,REP001,DRG002,FY2021-Q3,156285.96,102,35,6
TGT000020,REP001,DRG002,FY2021-Q4,60658.39,179,26,6
TGT000021,REP001,DRG002,FY2022-Q1,53572.75,114,54,9
TGT000022,REP001,DRG002,FY2022-Q2,105086.81,97,47,9
TGT000023,REP001,DRG002,FY2022-Q3,80541.14,147,42,7
TGT000024,REP001,DRG002,FY2022-Q4,93264.19,114,55,3
TGT000025,REP001,DRG002,FY2023-Q1,122026.72,116,40,5
TGT000026,REP001,DRG002,FY2023-Q2,87165.37,90,30,10
TGT000027,REP001,DRG002,FY2023-Q3,133752.02,242,46,5
TGT000028,REP001,DRG002,FY2023-Q4,52115.59,251,24,10
TGT000029,REP001,DRG002,FY2024-Q1,98374.41,75,48,7
TGT000030,REP001,DRG002,FY2024-Q2,70480.08,252,23,10
TGT000031,REP001,DRG002,FY2024-Q3,88312.67,73,53,10
TGT000032,REP001,DRG002,FY2024-Q4,44639,244,23,7
TGT000033,REP001,DRG003,FY2021-Q1,45199.91,228,49,10
TGT000034,REP001,DRG003,FY2021-Q2,45719.36,51,38,9
TGT000035,REP001,DRG003,FY2021-Q3,40894.23,158,54,9
TGT000036,REP001,DRG003,FY2021-Q4,63782.59,247,53,5
TGT000037,REP001,DRG003,FY2022-Q1,36379.8,229,59,7
TGT000038,REP001,DRG003,FY2022-Q2,27830.76,283,47,8
TGT000039,REP001,DRG003,FY2022-Q3,26980.59,141,26,3
TGT000040,REP001,DRG003,FY2022-Q4,46441.18,273,52,5
TGT000041,REP001,DRG003,FY2023-Q1,33650.29,261,21,6
TGT000042,REP001,DRG003,FY2023-Q2,55574.66,63,29,2
TGT000043,REP001,DRG003,FY2023-Q3,14111.13,185,23,8
TGT000044,REP001,DRG003,FY2023-Q4,62678.65,167,30,2
TGT000045,REP001,DRG003,FY2024-Q1,55786.16,271,38,3
TGT000046,REP001,DRG003,FY2024-Q2,25798.17,227,56,5
TGT000047,REP001,DRG003,FY2024-Q3,54778.32,182,29,6
TGT000048,REP001,DRG003,FY2024-Q4,24203.61,268,58,5
TGT000049,REP001,DRG004,FY2021-Q1,292200.83,67,20,10
TGT000050,REP001,DRG004,FY2021-Q2,262650.78,167,49,7
TGT000051,REP001,DRG004,FY2021-Q3,97066.33,213,27,6
TGT000052,REP001,DRG004,FY2021-Q4,191716.79,106,25,2
TGT000053,REP001,DRG004,FY2022-Q1,177579.65,135,32,8
TGT000054,REP001,DRG004,FY2022-Q2,171044.68,185,44,7
TGT000055,REP001,DRG004,FY2022-Q3,192865.29,206,60,4
TGT000056,REP001,DRG004,FY2022-Q4,130172.03,267,57,4
TGT000057,REP001,DRG004,FY2023-Q1,309637.62,225,20,5
TGT000058,REP001,DRG004,FY2023-Q2,148453.28,70,30,6
TGT000059,REP001,DRG004,FY2023-Q3,166212.07,249,43,6
TGT000060,REP001,DRG004,FY2023-Q4,174444.47,216,37,7
TGT000061,REP001,DRG004,FY2024-Q1,209076.5,80,20,8
TGT000062,REP001,DRG004,FY2024-Q2,137500.3,125,58,8
TGT000063,REP001,DRG004,FY2024-Q3,270735.53,120,59,4
TGT000064,REP001,DRG004,FY2024-Q4,228106.13,157,22,7
TGT000065,REP001,DRG005,FY2021-Q1,202437.41,97,56,6
TGT000066,REP001,DRG005,FY2021-Q2,118879.76,156,34,8
TGT000067,REP001,DRG005,FY2021-Q3,134951.74,259,44,9
TGT000068,REP001,DRG005,FY2021-Q4,156359.81,75,41,6
TGT000069,REP001,DRG005,FY2022-Q1,167015.53,111,24,5
TGT000070,REP001,DRG005,FY2022-Q2,136981.18,79,31,2
TGT000071,REP001,DRG005,FY2022-Q3,112232.92,52,46,7
TGT000072,REP001,DRG005,FY2022-Q4,166823.4,125,56,9
TGT000073,REP001,DRG005,FY2023-Q1,179308.67,58,60,8
TGT000074,REP001,DRG005,FY2023-Q2,205700.14,59,44,2
TGT000075,REP001,DRG005,FY2023-Q3,153547.51,120,33,3
TGT000076,REP001,DRG005,FY2023-Q4,165136.69,98,22,3
TGT000077,REP001,DRG005,FY2024-Q1,100399.32,125,42,9
TGT000078,REP001,DRG005,FY2024-Q2,162923.23,143,53,7
TGT000079,REP001,DRG005,FY2024-Q3,250647.07,299,36,10
TGT000080,REP001,DRG005,FY2024-Q4,226572.58,83,33,7
TGT000081,REP001,DRG006,FY2021-Q1,74067.46,232,51,7
TGT000082,REP001,DRG006,FY2021-Q2,106336.41,59,29,2
TGT000083,REP001,DRG006,FY2021-Q3,91921.56,218,45,5
TGT000084,REP001,DRG006,FY2021-Q4,77052.18,262,33,6
TGT000085,REP001,DRG006,FY2022-Q1,52089.72,269,21,2
TGT000086,REP001,DRG006,FY2022-Q2,142217.96,116,57,9
TGT000087,REP001,DRG006,FY2022-Q3,90685.58,287,27,9
TGT000088,REP001,DRG006,FY2022-Q4,74765,228,43,7
TGT000089,REP001,DRG006,FY2023-Q1,117725.95,244,25,8
TGT000090,REP001,DRG006,FY2023-Q2,123817.46,243,45,6
TGT000091,REP001,DRG006,FY2023-Q3,53514.03,255,28,10
TGT000092,REP001,DRG006,FY2023-Q4,94714.03,261,35,4
TGT000093,REP001,DRG006,FY2024-Q1,101916.72,271,54,5
TGT000094,REP001,DRG006,FY2024-Q2,80144.8,157,30,10
TGT000095,REP001,DRG006,FY2024-Q3,38856.34,65,52,7
TGT000096,REP001,DRG006,FY2024-Q4,92579.49,185,35,4
TGT000097,REP001,DRG007,FY2021-Q1,2050637.23,53,56,9
TGT000098,REP001,DRG007,FY2021-Q2,2893229.44,73,35,3
TGT000099,REP001,DRG007,FY2021-Q3,1862151.4,92,30,10
TGT000100,REP001,DRG007,FY2021-Q4,1830250.7,72,56,3
TGT000101,REP001,DRG007,FY2022-Q1,1281266.89,263,30,6
TGT000102,REP001,DRG007,FY2022-Q2,2110210.9,249,41,5
TGT000103,REP001,DRG007,FY2022-Q3,3379390.95,256,28,10
TGT000104,REP001,DRG007,FY2022-Q4,1625605.81,98,47,9
TGT000105,REP001,DRG007,FY2023-Q1,1278705.75,63,35,9
TGT000106,REP001,DRG007,FY2023-Q2,1569158.28,208,24,4
TGT000107,REP001,DRG007,FY2023-Q3,1362390.36,228,51,9
TGT000108,REP001,DRG007,FY2023-Q4,2277370.56,295,36,9
TGT000109,REP001,DRG007,FY2024-Q1,2826841.89,272,36,7
TGT000110,REP001,DRG007,FY2024-Q2,1721521.01,133,42,4
TGT000111,REP001,DRG007,FY2024-Q3,905600.87,64,55,4
TGT000112,REP001,DRG007,FY2024-Q4,965505.5,221,29,9
TGT000113,REP001,DRG008,FY2021-Q1,4770514.66,252,29,6
TGT000114,REP001,DRG008,FY2021-Q2,3769150.58,286,49,3
TGT000115,REP001,DRG008,FY2021-Q3,6254750.85,161,55,6
TGT000116,REP001,DRG008,FY2021-Q4,5977075.92,231,31,9
TGT000117,REP001,DRG008,FY2022-Q1,4281586.02,84,42,8
TGT000118,REP001,DRG008,FY2022-Q2,3255216.15,219,44,4
TGT000119,REP001,DRG008,FY2022-Q3,4184821.09,139,26,9
TGT000120,REP001,DRG008,FY2022-Q4,5509011.72,240,42,10
TGT000121,REP001,DRG008,FY2023-Q1,4827963.05,209,56,4
TGT000122,REP001,DRG008,FY2023-Q2,2245161.39,206,42,9
TGT000123,REP001,DRG008,FY2023-Q3,5822360.67,109,20,7
TGT000124,REP001,DRG008,FY2023-Q4,2875722.85,226,22,8
TGT000125,REP001,DRG008,FY2024-Q1,2064242.08,207,28,7
TGT000126,REP001,DRG008,FY2024-Q2,5234362.25,86,43,10
TGT000127,REP001,DRG008,FY2024-Q3,4236544.3,78,34,5
TGT000128,REP001,DRG008,FY2024-Q4,2294750.51,280,30,5
TGT000129,REP001,DRG009,FY2021-Q1,91404.6,121,26,10
TGT000130,REP001,DRG009,FY2021-Q2,99641.84,210,30,4
TGT000131,REP001,DRG009,FY2021-Q3,33199.33,223,60,6
TGT000132,REP001,DRG009,FY2021-Q4,58096.09,137,39,6
TGT000133,REP001,DRG009,FY2022-Q1,37896.01,104,28,7
TGT000134,REP001,DRG009,FY2022-Q2,36872.54,295,54,9
TGT000135,REP001,DRG009,FY2022-Q3,101342.16,60,35,5
TGT000136,REP001,DRG009,FY2022-Q4,46382.46,130,44,5
TGT000137,REP001,DRG009,FY2023-Q1,75641.39,222,26,5
TGT000138,REP001,DRG009,FY2023-Q2,42256.85,51,32,6
TGT000139,REP001,DRG009,FY2023-Q3,71148.79,130,50,6
TGT000140,REP001,DRG009,FY2023-Q4,88896.4,82,59,10
TGT000141,REP001,DRG009,FY2024-Q1,39005.13,300,44,3
TGT000142,REP001,DRG009,FY2024-Q2,114920.02,50,20,7
TGT000143,REP001,DRG009,FY2024-Q3,31591.72,94,41,5
TGT000144,REP001,DRG009,FY2024-Q4,44765.51,67,58,9
TGT000145,REP001,DRG010,FY2021-Q1,112656.67,240,20,8
TGT000146,REP001,DRG010,FY2021-Q2,195228.76,271,27,10
TGT000147,REP001,DRG010,FY2021-Q3,137405.04,150,23,8
