VisitID,VisitDate,RepID,DoctorID,TerritoryID,VisitType,ProductsDetailed,SamplesGiven,CallOutcome,NextVisitScheduled,VisitDuration_Mins,JointVisitFlag,ManagerID
VIS000538,2021-01-01,REP019,DOC0065,TER025,Planned,"DRG002,DRG008,DRG010",1,Prescription Committed,2021-01-24,40,No,
VIS000041,2021-01-03,REP017,DOC0215,TER009,Planned,"DRG006,DRG005,DRG011",1,Sample Accepted,2021-01-25,10,Yes,REP017
VIS000393,2021-01-03,REP007,DOC0111,TER029,CME,"DRG005,DRG007",3,Will Consider,2021-01-14,19,Yes,REP012
VIS000824,2021-01-04,REP001,DOC0153,TER015,CME,"DRG010,DRG014,DRG002",3,Prescription Committed,2021-01-19,29,Yes,REP017
VIS002398,2021-01-04,REP012,DOC0284,TER033,Unplanned,"DRG004,DRG001",2,Sample Accepted,2021-01-28,42,Yes,REP012
VIS002885,2021-01-04,REP016,DOC0030,TER018,Planned,"DRG006,DRG005,DRG002",1,Prescription Committed,2021-01-21,20,No,
VIS001356,2021-01-05,REP001,DOC0219,TER005,Planned,"DRG006,DRG013,DRG015,DRG002",3,Will Consider,2021-01-18,16,No,
VIS002098,2021-01-07,REP016,DOC0247,TER009,CME,"DRG006,DRG002,DRG015",2,Meeting Rescheduled,2021-01-30,21,No,
VIS001272,2021-01-08,REP003,DOC0137,TER001,Follow-up,"DRG012,DRG011,DRG009,DRG015",2,Will Consider,2021-01-28,29,No,
VIS000005,2021-01-09,REP001,DOC0059,TER016,Planned,"DRG011,DRG005",2,Prescription Committed,2021-01-21,24,Yes,REP017
VIS001895,2021-01-09,REP012,DOC0166,TER009,CME,"DRG003,DRG008,DRG009,DRG010",0,Sample Accepted,2021-01-29,39,No,
VIS000191,2021-01-10,REP017,DOC0159,TER024,Planned,"DRG015,DRG009,DRG011,DRG008",2,Will Consider,2021-01-31,28,No,
VIS000396,2021-01-10,REP008,DOC0197,TER037,Camp,"DRG011,DRG008,DRG010",0,Prescription Committed,2021-01-23,13,No,
VIS001909,2021-01-12,REP020,DOC0133,TER016,Planned,"DRG005,DRG002,DRG007,DRG009",3,Prescription Committed,2021-01-28,36,Yes,REP012
VIS001386,2021-01-13,REP009,DOC0254,TER032,Planned,"DRG010,DRG015,DRG008,DRG004",2,Prescription Committed,2021-02-11,27,No,
VIS002180,2021-01-13,REP001,DOC0147,TER035,Planned,"DRG009,DRG001",0,Sample Accepted,2021-01-25,23,No,
VIS000561,2021-01-14,REP002,DOC0274,TER021,Camp,"DRG011,DRG009,DRG005,DRG002",2,Sample Accepted,2021-01-24,23,No,
VIS001924,2021-01-14,REP006,DOC0070,TER006,Unplanned,DRG010,0,Sample Accepted,2021-02-03,20,No,
VIS000419,2021-01-15,REP009,DOC0093,TER021,Planned,DRG005,0,Prescription Committed,2021-02-03,45,No,
